dia;id_veiculo;id_corrida;categoria;distancia_corrida;valor_corrida;valor_gorjeta;cupom_desconto
20250521;09;47;"lazer";1080;21.70;1.00;"N"
20250522;11;48;"negocio";2700;54.90;2.20;"S"
20250520;02;49;"lazer";890;17.30;0.00;"N"
20250523;05;50;"negocio";3500;71.10;3.00;"S"
20250521;14;51;"lazer";940;18.60;0.50;"N"
20250522;04;52;"negocio";3100;62.40;2.60;"S"
20250524;07;53;"lazer";850;16.70;0.00;"N"
20250520;15;54;"negocio";2800;56.20;2.20;"S"
20250521;10;55;"lazer";1150;23.50;1.00;"N"
20250522;06;56;"negocio";3200;64.90;2.70;"S"
20250524;03;57;"lazer";1000;20.00;0.00;"N"
20250523;01;58;"negocio";2600;52.10;2.00;"S"
20250522;08;59;"lazer";870;17.40;0.50;"N"
20250520;11;60;"negocio";3000;60.60;2.40;"S"
20250523;07;61;"lazer";910;18.20;0.00;"N"
20250524;14;62;"negocio";3300;66.00;2.80;"S"
20250521;12;63;"lazer";920;18.40;1.00;"N"
20250520;13;64;"negocio";2500;50.10;2.10;"S"
20250522;05;65;"lazer";1050;21.50;0.00;"N"
20250523;10;66;"negocio";2900;58.60;2.30;"S"
20250524;06;67;"lazer";980;19.80;1.00;"N"
20250520;04;68;"negocio";3100;62.70;2.90;"S"
20250522;15;69;"lazer";880;17.60;0.00;"N"
20250521;07;70;"negocio";3400;69.50;3.10;"S"
20250523;03;71;"lazer";1100;22.60;0.50;"N"
20250524;09;72;"negocio";2600;52.30;2.00;"S"
20250522;02;73;"lazer";950;18.70;0.00;"N"
20250521;10;74;"negocio";2800;56.90;2.50;"S"
20250520;03;75;"lazer";1020;20.90;1.00;"N"
20250523;11;76;"negocio";3000;60.30;2.70;"S"
20250524;08;77;"lazer";970;19.50;0.00;"N"
20250522;14;78;"negocio";3500;71.40;3.20;"S"
20250520;05;79;"lazer";850;16.50;0.00;"N"
20250521;06;80;"negocio";2700;54.70;2.10;"S"
20250523;12;81;"lazer";880;17.60;1.00;"N"
20250524;04;82;"negocio";2900;57.50;2.30;"S"
20250520;01;83;"lazer";990;20.10;0.50;"N"
20250522;03;84;"negocio";3100;63.00;2.80;"S"
20250523;13;85;"lazer";1080;21.60;0.00;"N"
20250521;08;86;"negocio";3300;66.90;3.10;"S"
20250524;15;87;"lazer";1050;20.80;1.00;"N"
20250522;12;88;"negocio";2500;50.90;2.00;"S"
20250523;06;89;"lazer";940;18.30;0.00;"N"
20250520;09;90;"negocio";3700;75.60;3.40;"S"
20250521;13;91;"lazer";870;17.20;0.00;"N"
20250524;10;92;"negocio";3000;60.10;2.60;"S"
20250523;14;93;"lazer";1000;20.40;0.00;"N"
20250522;15;94;"negocio";3200;65.30;2.90;"S"
20250520;11;95;"lazer";920;18.10;1.00;"N"
20250521;04;96;"negocio";3400;69.00;3.00;"S"
20250522;05;97;"lazer";1100;22.10;0.00;"N"
20250523;13;98;"negocio";2800;56.80;2.20;"S"
20250524;06;99;"lazer";880;17.30;0.00;"N"
20250520;07;100;"negocio";3600;73.20;3.20;"S"
